kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_depth
Kepler-1235 b,CONFIRMED,CANDIDATE,4.16056658,2.61,75.8
Kepler-1236 b,CONFIRMED,CANDIDATE,31.0572947,3.401,636.6
Kepler-1237 b,CONFIRMED,CANDIDATE,84.5733346,5.762,891.6
Kepler-1238 b,CONFIRMED,CANDIDATE,4.14789051,3.829,137.6
Kepler-1239 b,CONFIRMED,CANDIDATE,5.19103699,4.222,290.1
Kepler-124 b,CONFIRMED,CANDIDATE,3.41045981,2.866,136.2
Kepler-124 c,CONFIRMED,CANDIDATE,13.82142084,3.985,765.2
Kepler-124 d,CONFIRMED,CANDIDATE,30.9505927,5.394,301.4
Kepler-1240 b,CONFIRMED,CANDIDATE,4.86638504,2.296,143.8
Kepler-1241 b,CONFIRMED,CANDIDATE,18.5525162,4.385,771.5
Kepler-1242 b,CONFIRMED,CANDIDATE,13.62801048,3.5374,912.8
Kepler-1243 b,CONFIRMED,CANDIDATE,16.83203175,4.031,326.0
Kepler-1244 b,CONFIRMED,CANDIDATE,3.70429015,3.37,55.7
Kepler-1245 b,CONFIRMED,CANDIDATE,4.35407371,2.427,277.1
Kepler-1245 c,CONFIRMED,CANDIDATE,2.936587946,1.8952,279.6
Kepler-1246 b,CONFIRMED,CANDIDATE,11.32269749,3.517,311.0
Kepler-1247 b,CONFIRMED,CANDIDATE,13.71218522,2.437,786.7
